group,actor_mode,critic_mode,seed,task_idx,env,run_id,n_evals,best_success,end_success,mean_success_during_training,auc_success,stability,cell
for_real,cka,cka,99,1,sawyer_push_wall,l0j69sc5,159.0,1.0,0.5,0.43836477987421374,0.43955696202531647,0.5,actor=cka-critic=cka
for_real,cka,cka,99,2,sawyer_faucet_close,oduqf5j5,159.0,0.9,0.3,0.3440251572327045,0.34335443037974683,0.3333333333333333,actor=cka-critic=cka
for_real,cka,cka,99,3,sawyer_push_back,tmssl3ox,159.0,1.0,1.0,0.6503144654088051,0.6512658227848102,1.0,actor=cka-critic=cka
for_real,cka,cka,99,4,sawyer_stick_pull,bfzdtvp1,159.0,1.0,0.3,0.45408805031446536,0.4560126582278481,0.3,actor=cka-critic=cka
for_real,cka,cka,99,5,sawyer_handle_press_side,861xzuez,159.0,0.3,0.0,0.013836477987421384,0.013924050632911392,0.0,actor=cka-critic=cka
for_real,cka,cka,99,6,sawyer_push,08up83x9,159.0,1.0,0.5,0.3981132075471698,0.3990506329113924,0.5,actor=cka-critic=cka
for_real,cka,cka,99,7,sawyer_shelf_place,7a4a2q8g,159.0,0.0,0.0,0.0,0.0,0.0,actor=cka-critic=cka
for_real,cka,cka,100,0,sawyer_hammer,z8v2pjct,159.0,1.0,0.7,0.7867924528301886,0.7863924050632911,0.7,actor=cka-critic=cka
for_real,cka,cka,100,1,sawyer_push_wall,7nn9pf00,159.0,1.0,1.0,0.5232704402515722,0.5234177215189874,1.0,actor=cka-critic=cka
for_real,cka,cka,100,2,sawyer_faucet_close,dbqcyl5z,159.0,0.8,0.2,0.30377358490566037,0.3050632911392405,0.25,actor=cka-critic=cka
for_real,cka,cka,100,3,sawyer_push_back,s7nwjvxb,159.0,1.0,1.0,0.679245283018868,0.680379746835443,1.0,actor=cka-critic=cka
for_real,cka,cka,100,4,sawyer_stick_pull,ma11sjjg,159.0,1.0,0.4,0.5119496855345912,0.5139240506329114,0.4,actor=cka-critic=cka
for_real,cka,cka,101,0,sawyer_hammer,bd4x3hn1,159.0,1.0,1.0,0.9094339622641511,0.9088607594936708,1.0,actor=cka-critic=cka
for_real,cka,cka,101,1,sawyer_push_wall,3c4tvmk8,159.0,1.0,0.3,0.6283018867924528,0.6313291139240507,0.3,actor=cka-critic=cka
for_real,cka,cka,101,2,sawyer_faucet_close,wtlikbqa,159.0,0.8,0.3,0.3547169811320755,0.3541139240506329,0.37499999999999994,actor=cka-critic=cka
for_real,cka,cka,101,3,sawyer_push_back,2hwsk4br,159.0,1.0,0.9,0.6018867924528302,0.6028481012658228,0.9,actor=cka-critic=cka
for_real,cka,cka,101,4,sawyer_stick_pull,2dau1yyg,159.0,1.0,0.9,0.4276729559748428,0.42753164556962026,0.9,actor=cka-critic=cka
for_real,cka,persistent,97,0,sawyer_hammer,lvl13kfw,159.0,1.0,1.0,0.8163522012578617,0.8167721518987342,1.0,actor=cka-critic=persistent
for_real,cka,persistent,97,1,sawyer_push_wall,qloqwvw4,159.0,1.0,0.3,0.669182389937107,0.6724683544303798,0.3,actor=cka-critic=persistent
for_real,cka,persistent,97,2,sawyer_faucet_close,4ozg26u5,159.0,0.9,0.6,0.3584905660377358,0.3569620253164557,0.6666666666666666,actor=cka-critic=persistent
for_real,cka,persistent,97,3,sawyer_push_back,9vizfsn7,159.0,1.0,0.4,0.6276729559748427,0.6303797468354431,0.4,actor=cka-critic=persistent
for_real,cka,persistent,97,4,sawyer_stick_pull,12cri2vt,159.0,1.0,0.1,0.5106918238993711,0.5136075949367088,0.1,actor=cka-critic=persistent
for_real,cka,persistent,97,5,sawyer_handle_press_side,iho5n1mu,159.0,0.1,0.1,0.007547169811320756,0.006962025316455696,1.0,actor=cka-critic=persistent
for_real,cka,persistent,98,0,sawyer_hammer,hkszhf3s,159.0,1.0,1.0,0.9069182389937108,0.9088607594936708,1.0,actor=cka-critic=persistent
for_real,cka,persistent,98,1,sawyer_push_wall,m2ef0xl7,159.0,1.0,1.0,0.410062893081761,0.40949367088607597,1.0,actor=cka-critic=persistent
for_real,cka,persistent,98,2,sawyer_faucet_close,cw0mdjt2,159.0,0.8,0.5,0.3566037735849057,0.3550632911392405,0.625,actor=cka-critic=persistent
for_real,cka,persistent,98,3,sawyer_push_back,bsz5vz9t,159.0,1.0,0.8,0.7981132075471699,0.8006329113924051,0.8,actor=cka-critic=persistent
for_real,cka,persistent,98,4,sawyer_stick_pull,at2i09f6,159.0,1.0,0.8,0.34465408805031444,0.34430379746835443,0.8,actor=cka-critic=persistent
for_real,cka,persistent,98,5,sawyer_handle_press_side,imdzz1h5,159.0,0.2,0.0,0.007547169811320756,0.007594936708860759,0.0,actor=cka-critic=persistent
for_real,cka,persistent,99,0,sawyer_hammer,3koeo1qh,159.0,1.0,1.0,0.890566037735849,0.8901898734177215,1.0,actor=cka-critic=persistent
for_real,cka,persistent,99,1,sawyer_push_wall,9e7yvysx,159.0,1.0,0.8,0.5767295597484277,0.5778481012658228,0.8,actor=cka-critic=persistent
for_real,cka,persistent,99,2,sawyer_faucet_close,plrkul0z,159.0,0.9,0.4,0.3867924528301887,0.3879746835443038,0.4444444444444445,actor=cka-critic=persistent
for_real,cka,persistent,99,3,sawyer_push_back,zwjg9zoy,159.0,1.0,0.9,0.6301886792452831,0.6313291139240507,0.9,actor=cka-critic=persistent
for_real,cka,persistent,99,4,sawyer_stick_pull,s66i8spn,159.0,1.0,0.2,0.48490566037735844,0.4873417721518987,0.2,actor=cka-critic=persistent
for_real,cka,persistent,99,5,sawyer_handle_press_side,nbfz0d7w,159.0,0.1,0.0,0.003773584905660378,0.0037974683544303796,0.0,actor=cka-critic=persistent
for_real,cka,persistent,100,0,sawyer_hammer,qt3nfhg5,159.0,1.0,1.0,0.8125786163522012,0.8117088607594937,1.0,actor=cka-critic=persistent
for_real,cka,persistent,100,1,sawyer_push_wall,nqtjvdpv,159.0,1.0,0.3,0.5704402515723269,0.5731012658227848,0.3,actor=cka-critic=persistent
for_real,cka,persistent,100,2,sawyer_faucet_close,emeytwt6,159.0,0.8,0.3,0.30188679245283023,0.3028481012658228,0.37499999999999994,actor=cka-critic=persistent
for_real,cka,persistent,100,3,sawyer_push_back,ilxi1khp,159.0,1.0,0.5,0.3861635220125786,0.3870253164556962,0.5,actor=cka-critic=persistent
for_real,cka,persistent,100,4,sawyer_stick_pull,nx9xqk2k,159.0,1.0,0.3,0.5251572327044025,0.5275316455696203,0.3,actor=cka-critic=persistent
for_real,cka,persistent,101,0,sawyer_hammer,9yelcakv,159.0,1.0,0.9,0.8911949685534594,0.8920886075949367,0.9,actor=cka-critic=persistent
for_real,cka,persistent,101,1,sawyer_push_wall,z92b5q13,159.0,1.0,0.4,0.5471698113207547,0.549367088607595,0.4,actor=cka-critic=persistent
for_real,cka,persistent,101,2,sawyer_faucet_close,757kpuu9,159.0,1.0,0.2,0.3352201257861635,0.33354430379746836,0.2,actor=cka-critic=persistent
for_real,cka,persistent,101,3,sawyer_push_back,pi0hf3h8,159.0,1.0,0.8,0.7610062893081762,0.7632911392405063,0.8,actor=cka-critic=persistent
