cell,group,actor_mode,critic_mode,task_idx,env,best_success_mean,best_success_std,best_success_sem,best_success_n,end_success_mean,end_success_std,end_success_sem,end_success_n,mean_success_during_training_mean,mean_success_during_training_std,mean_success_during_training_sem,mean_success_during_training_n,auc_success_mean,auc_success_std,auc_success_sem,auc_success_n,stability_mean,stability_std,stability_sem,stability_n,seeds
actor=cka-critic=cka,real2,cka,cka,7,sawyer_shelf_place,0.5,0.469041575982343,0.2345207879911715,4,0.22499999999999998,0.28722813232690136,0.14361406616345068,4,0.13679245283018868,0.19453492049327675,0.09726746024663838,4,0.13694620253164558,0.19533655616153672,0.09766827808076836,4,0.25,0.3191423692521127,0.15957118462605635,4,"97,98,99,101"
actor=cka-critic=cka,real1,cka,cka,8,sawyer_window_close,0.3666666666666667,0.057735026918962595,0.03333333333333335,3,0.0,0.0,0.0,3,0.049056603773584895,0.0170276558121772,0.009830921666828803,3,0.04905063291139241,0.017353202368171138,0.010018876058565659,3,0.0,0.0,0.0,3,"97,98,99"
actor=cka-critic=cka,real2,cka,cka,8,sawyer_window_close,0.5,0.09999999999999998,0.05773502691896257,3,0.06666666666666667,0.05773502691896258,0.03333333333333334,3,0.07526205450733751,0.021717094362398562,0.012538370276147315,3,0.07552742616033754,0.021672787437784714,0.012512789661294545,3,0.12222222222222223,0.10715167512214395,0.06186404847588914,3,"97,98,99"
actor=cka-critic=cka,real1,cka,cka,9,sawyer_peg_unplug_side,0.7666666666666666,0.05773502691896263,0.03333333333333337,3,0.13333333333333333,0.15275252316519466,0.08819171036881969,3,0.2788259958071279,0.022548141987000017,0.013018175845920363,3,0.28016877637130805,0.023156110839452165,0.013369186826542518,3,0.1726190476190476,0.18926325113791242,0.10927118899217748,3,"97,98,99"
actor=cka-critic=cka,real2,cka,cka,9,sawyer_peg_unplug_side,0.7999999999999999,0.17320508075688776,0.10000000000000002,3,0.10000000000000002,1.6996749443881478e-17,9.813077866773593e-18,3,0.2538784067085954,0.05339001576334333,0.03082473997300464,3,0.2550632911392405,0.053867229527054444,0.031100259467944244,3,0.1285714285714286,0.024743582965269684,0.01428571428571429,3,"97,98,99"
actor=cka-critic=persistent,for_real,cka,persistent,0,sawyer_hammer,1.0,0.0,0.0,5,0.9800000000000001,0.04472135954999579,0.019999999999999997,5,0.8635220125786164,0.04527865108215433,0.0202492283498383,5,0.8639240506329114,0.04596784508333526,0.020557445277103424,5,0.9800000000000001,0.04472135954999579,0.019999999999999997,5,"97,98,99,100,101"
actor=cka-critic=persistent,real1,cka,persistent,0,sawyer_hammer,1.0,0.0,0.0,5,0.9800000000000001,0.04472135954999578,0.019999999999999993,5,0.8644025157232704,0.024635309238875906,0.011017245220971026,5,0.8645569620253164,0.02456050966153106,0.01098379383304476,5,0.9800000000000001,0.04472135954999578,0.019999999999999993,5,"97,98,99,100,101"
actor=cka-critic=persistent,real2,cka,persistent,0,sawyer_hammer,1.0,0.0,0.0,5,0.96,0.08944271909999157,0.039999999999999994,5,0.8455345911949685,0.08678971830529539,0.03881354197573966,5,0.8463291139240507,0.0871875932345664,0.038991477053418246,5,0.96,0.08944271909999157,0.039999999999999994,5,"97,98,99,100,101"
actor=cka-critic=persistent,for_real,cka,persistent,1,sawyer_push_wall,1.0,0.0,0.0,5,0.5599999999999999,0.3209361307176243,0.14352700094407325,5,0.5547169811320755,0.09329505563722335,0.04172281727389127,5,0.5564556962025315,0.0946595638250775,0.042333043886670654,5,0.5599999999999999,0.3209361307176243,0.14352700094407325,5,"97,98,99,100,101"
actor=cka-critic=persistent,real1,cka,persistent,1,sawyer_push_wall,1.0,0.0,0.0,4,0.65,0.20816659994661327,0.10408329997330663,4,0.5492138364779874,0.0897901997609,0.04489509988045,4,0.550632911392405,0.09032505229652998,0.04516252614826499,4,0.65,0.20816659994661327,0.10408329997330663,4,"97,98,99,101"
actor=cka-critic=persistent,real2,cka,persistent,1,sawyer_push_wall,1.0,0.0,0.0,4,0.75,0.3109126351029605,0.15545631755148026,4,0.5216981132075471,0.14607135440791807,0.07303567720395904,4,0.522626582278481,0.14634824327826412,0.07317412163913206,4,0.75,0.3109126351029605,0.15545631755148026,4,"97,98,99,101"
actor=cka-critic=persistent,for_real,cka,persistent,2,sawyer_faucet_close,0.8800000000000001,0.08366600265340754,0.0374165738677394,5,0.4,0.15811388300841897,0.07071067811865475,5,0.3477987421383648,0.03153760399844256,0.014104045277597347,5,0.34727848101265824,0.031516826726819706,0.01409475339925021,5,0.4622222222222222,0.1903801427813103,0.08514058816502514,5,"97,98,99,100,101"
actor=cka-critic=persistent,real1,cka,persistent,2,sawyer_faucet_close,0.9,0.08164965809277258,0.04082482904638629,4,0.325,0.09574271077563382,0.04787135538781691,4,0.34858490566037736,0.039042287318950694,0.019521143659475347,4,0.34810126582278483,0.04023262618566476,0.02011631309283238,4,0.3597222222222222,0.09993567890245944,0.04996783945122972,4,"97,98,99,101"
actor=cka-critic=persistent,real2,cka,persistent,2,sawyer_faucet_close,0.85,0.05773502691896256,0.02886751345948128,4,0.475,0.18929694486000911,0.09464847243000456,4,0.38459119496855343,0.018808431712668227,0.009404215856334113,4,0.3845727848101266,0.019072199618017534,0.009536099809008767,4,0.5659722222222222,0.23498505994011984,0.11749252997005992,4,"97,98,99,101"
actor=cka-critic=persistent,for_real,cka,persistent,3,sawyer_push_back,1.0,0.0,0.0,5,0.68,0.216794833886788,0.09695359714832658,5,0.6406289308176102,0.16149419979486146,0.07222240174264856,5,0.6425316455696203,0.16212303594940186,0.07250362582030094,5,0.68,0.216794833886788,0.09695359714832658,5,"97,98,99,100,101"
actor=cka-critic=persistent,real1,cka,persistent,3,sawyer_push_back,1.0,0.0,0.0,4,0.9249999999999999,0.0957427107756338,0.0478713553878169,4,0.6202830188679246,0.06598355569169148,0.03299177784584574,4,0.6212816455696202,0.06619164691359804,0.03309582345679902,4,0.9249999999999999,0.0957427107756338,0.0478713553878169,4,"97,98,99,101"
