figure,series,env_steps,n_hover,press_minus_pi,press_rank,grad_cos,std_a,std_s,std_a_over_std_s,panel,feature,accuracy_drop,baseline_accuracy,n_pairs,delta_mm,success,her_succ,her_prog,her_succ_or_prog
inject,handle,30000,,,,,,,,her,,,,,,,0.02,0.0,0.02
inject,handle,31500,,,,,,,,her,,,,,,,0.02,0.0,0.02
inject,handle,33000,,,,,,,,her,,,,,,,0.02,0.0,0.02
inject,handle,34500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,36000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,37500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,39000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,40500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,42000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,43500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,45000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,46500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,48000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,49500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,51000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,52500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,54000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,55500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,57000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,58500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,60000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,61500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,63000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,64500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,66000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,67500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,69000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,70500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,72000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,73500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,75000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,76500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,78000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,79500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,81000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,82500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,84000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,85500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,87000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,88500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,90000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,91500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,93000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,94500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,96000,,,,,,,,her,,,,,,,0.04,0.0,0.04
inject,handle,97500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,99000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,100500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,102000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,103500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,105000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,106500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,108000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,109500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,111000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,112500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,114000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,115500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,117000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,118500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,120000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,121500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,123000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,124500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,126000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,127500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,129000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,130500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,132000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,133500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,135000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,136500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,138000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,139500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,141000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,142500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,144000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,145500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,147000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,148500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,150000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,151500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,153000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,154500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,156000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,157500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,159000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,160500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,162000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,163500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,165000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,166500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,168000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,169500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,171000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,172500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,174000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,175500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,177000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,178500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,180000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,181500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,183000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,184500,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,186000,,,,,,,,her,,,,,,,0.03,0.0,0.03
inject,handle,187500,,,,,,,,her,,,,,,,0.03,0.0,0.03
